ID,Day,Treatment,Body
2,4,DRO,0.056326
3,4,F,0.072894
4,4,DR,0.053521
5,4,FO,0.073141
6,4,F,0.069654
7,4,DRO,0.048558
8,4,FO,0.064558
9,4,DR,0.045195
10,4,F,0.063442
11,4,DR,0.048963
12,4,DRO,0.050272
13,4,F,0.070859
14,4,DRO,0.046059
15,4,DR,0.049407
16,4,DR,0.043911
17,4,FO,0.061427
18,4,F,0.061037
19,4,F,0.059007
20,4,DRO,0.050519
21,4,F,0.062983
22,4,FO,0.069501
23,4,DRO,0.045536
24,4,F,0.064533
25,4,DR,0.04404
26,4,DRO,0.046296
27,4,F,0.068835
28,4,F,0.066331
29,4,F,0.063664
30,4,DRO,0.05278
31,4,F,0.062993
32,4,DRO,0.047225
33,4,F,0.055679
34,4,FO,0.066025
35,4,FO,0.073891
36,4,DRO,0.046919
37,4,F,0.058548
38,4,FO,0.070035
39,4,DR,0.047951
40,4,DR,0.052494
41,4,F,0.067259
42,4,DRO,0.049896
43,4,DR,0.049733
44,4,FO,0.061096
45,4,FO,0.062785
46,4,F,0.064286
47,4,DR,0.046721
48,4,F,0.077975
49,4,FO,0.06639
50,4,FO,0.071827
51,4,DR,0.048193
52,4,DR,0.050365
53,4,DR,0.048188
54,4,FO,0.072202
55,4,FO,0.072756
56,4,DR,0.047284
57,4,DRO,0.049249
58,4,DRO,0.054247
59,4,DRO,0.053447
60,4,DRO,0.052642
61,4,FO,0.052627
62,4,DR,0.048736
63,4,F,0.056983
64,4,FO,0.056385
65,4,DRO,0.053328
66,4,DRO,0.057432
67,4,DRO,0.054563
68,4,F,0.06643
69,4,DR,0.052015
70,4,DRO,0.055659
71,4,DR,0.051165
72,4,FO,0.063427
73,4,DR,0.051565
74,4,FO,0.065042
75,4,DRO,0.056123
76,4,FO,0.051264
77,4,FO,0.065452
78,4,DR,0.048889
79,4,FO,0.075916
80,4,F,0.07322
81,4,DR,0.051491
83,4,DR,0.048973
84,4,DR,0.048667
85,4,DRO,0.058672
86,4,FO,0.067694
87,4,DR,0.048044
88,4,DRO,0.055531
89,4,F,0.065886
90,4,DRO,0.058835
91,4,F,0.068484
92,4,DRO,0.058993
93,4,F,0.066336
94,4,DRO,0.042622
95,4,FO,0.070849
96,4,F,0.064923
97,4,DR,0.045531
98,4,FO,0.059615
99,4,FO,0.075891
100,4,DR,0.050627
2,2,DRO,0.029065
3,2,F,0.055854
4,2,DR,0.034028
5,2,FO,0.051513
6,2,F,0.055292
7,2,DRO,0.030904
8,2,FO,0.053341
9,2,DR,0.030796
10,2,F,0.055461
11,2,DR,0.033163
12,2,DRO,0.034259
13,2,F,0.057179
14,2,DRO,0.029922
15,2,DR,0.034414
16,2,DR,0.028046
17,2,FO,0.051977
18,2,F,0.056166
19,2,F,0.055327
20,2,DRO,0.030167
21,2,F,0.053249
22,2,FO,0.052088
23,2,DRO,0.029285
24,2,F,0.058234
25,2,DR,0.031308
26,2,DRO,0.030387
27,2,F,0.063723
28,2,F,0.055182
29,2,F,0.05769
30,2,DRO,0.028382
31,2,F,0.05501
32,2,DRO,0.030336
33,2,F,0.056793
34,2,FO,0.056363
35,2,FO,0.057503
36,2,DRO,0.032588
37,2,F,0.056116
38,2,FO,0.053145
39,2,DR,0.030408
40,2,DR,0.035797
41,2,F,0.063198
42,2,DRO,0.025684
43,2,DR,0.030217
44,2,FO,0.057995
45,2,FO,0.055459
46,2,F,0.061899
47,2,DR,0.03028
48,2,F,0.063896
49,2,FO,0.055839
50,2,FO,0.054392
51,2,DR,0.030817
52,2,DR,0.035278
53,2,DR,0.031395
54,2,FO,0.055656
55,2,FO,0.059209
56,2,DR,0.033432
57,2,DRO,0.032939
58,2,DRO,0.033806
59,2,DRO,0.030664
60,2,DRO,0.031366
61,2,FO,0.051107
62,2,DR,0.03269
63,2,F,0.054051
64,2,FO,0.048853
65,2,DRO,0.035801
66,2,DRO,0.034947
67,2,DRO,0.036891
68,2,F,0.06229
69,2,DR,0.036086
70,2,DRO,0.034352
71,2,DR,0.035907
72,2,FO,0.050801
73,2,DR,0.035056
74,2,FO,0.059274
75,2,DRO,0.033837
76,2,FO,0.064237
77,2,FO,0.059254
78,2,DR,0.033442
79,2,FO,0.055514
80,2,F,0.057255
81,2,DR,0.036929
83,2,DR,0.038359
84,2,DR,0.03257
85,2,DRO,0.038419
86,2,FO,0.060357
87,2,DR,0.037055
88,2,DRO,0.035877
89,2,F,0.062214
90,2,DRO,0.042356
91,2,F,0.06086
92,2,DRO,0.03505
93,2,F,0.061365
94,2,DRO,0.032902
95,2,FO,0.059257
96,2,F,0.05524
97,2,DR,0.03447
98,2,FO,0.052215
99,2,FO,0.059731
100,2,DR,0.035446
