Treatment.ID,Plate.ID,Worm,Death.Date,Cause ,D1,Age ,Event,Inf
DRO,1,1,11-Sep,W,04-Sep,7,0,0
DRO,1,2,18-Sep,L,04-Sep,14,0,0
DRO,1,3,23-Sep,D,04-Sep,19,1,0
DRO,1,4,23-Sep,D,04-Sep,19,1,0
DRO,1,5,26-Sep,D,04-Sep,22,1,1
DRO,1,6,26-Sep,D,04-Sep,22,1,1
DRO,1,7,26-Sep,D,04-Sep,22,1,0
DRO,1,8,29-Sep,D,04-Sep,25,1,1
DRO,1,9,01-Oct,D,04-Sep,27,1,1
DRO,1,10,01-Oct,D,04-Sep,27,1,1
FO,2,1,20-Sep,D,04-Sep,16,1,0
FO,2,2,24-Sep,D,04-Sep,20,1,0
FO,2,3,25-Sep,D,04-Sep,21,1,0
FO,2,4,26-Sep,D,04-Sep,22,1,0
FO,2,5,28-Sep,D,04-Sep,24,1,0
FO,2,6,28-Sep,D,04-Sep,24,1,0
FO,2,7,30-Sep,D,04-Sep,26,1,0
FO,2,8,01-Oct,D,04-Sep,27,1,0
FO,2,9,01-Oct,D,04-Sep,27,1,0
FO,2,10,02-Oct,D,04-Sep,28,1,0
DR,3,1,09-Sep,L,04-Sep,5,0,0
DR,3,2,09-Sep,L,04-Sep,5,0,0
DR,3,3,13-Sep,L,04-Sep,9,0,0
DR,3,4,13-Sep,L,04-Sep,9,0,0
DR,3,5,27-Sep,D,04-Sep,23,1,0
DR,3,6,29-Sep,D,04-Sep,25,1,0
DR,3,7,01-Oct,D,04-Sep,27,1,0
DR,3,8,04-Oct,D,04-Sep,30,1,0
DR,3,9,05-Oct,D,04-Sep,31,1,0
DR,3,10,06-Oct,D,04-Sep,32,1,0
DRO,4,1,20-Sep,D,04-Sep,16,1,0
DRO,4,2,25-Sep,D,04-Sep,21,1,0
DRO,4,3,26-Sep,D,04-Sep,22,1,0
DRO,4,4,26-Sep,D,04-Sep,22,1,0
DRO,4,5,29-Sep,D,04-Sep,25,1,0
DRO,4,6,30-Sep,D,04-Sep,26,1,0
DRO,4,7,01-Oct,D,04-Sep,27,1,1
DRO,4,8,05-Oct,D,04-Sep,31,1,0
DRO,4,9,05-Oct,D,04-Sep,31,1,0
DRO,4,10,06-Oct,D,04-Sep,32,1,0
DR,5,1,10-Sep,W,04-Sep,6,0,0
DR,5,2,18-Sep,M,04-Sep,14,1,0
DR,5,3,23-Sep,D,04-Sep,19,1,0
DR,5,4,24-Sep,D,04-Sep,20,1,0
DR,5,5,25-Sep,D,04-Sep,21,1,0
DR,5,6,30-Sep,D,04-Sep,26,1,0
DR,5,7,01-Oct,D,04-Sep,27,1,1
DR,5,8,02-Oct,D,04-Sep,28,1,1
