ID,Treatment,Day,Replicate,Egg_size
2,DRO,4,1,0.001427
2,DRO,4,2,0.001496
2,DRO,4,3,0.0016
3,F,4,1,0.001625
3,F,4,2,0.001598
3,F,4,3,0.001706
4,DR,4,1,0.001469
4,DR,4,2,0.001428
4,DR,4,3,0.001565
5,FO,4,1,0.001794
5,FO,4,2,0.001873
5,FO,4,3,0.001809
6,F,4,1,0.00169
6,F,4,2,0.001611
6,F,4,3,0.001749
7,DRO,4,1,0.001412
7,DRO,4,2,0.001359
7,DRO,4,3,0.001425
8,FO,4,1,0.001535
8,FO,4,2,0.001745
8,FO,4,3,0.0019
9,DR,4,1,0.001622
9,DR,4,2,0.001375
9,DR,4,3,0.001496
10,F,4,1,0.001421
10,F,4,2,0.00154
10,F,4,3,0.00161
11,DR,4,1,0.001524
11,DR,4,2,0.001637
11,DR,4,3,0.001608
12,DRO,4,1,0.001603
12,DRO,4,2,0.001573
12,DRO,4,3,0.001395
13,F,4,1,0.001243
14,DRO,4,1,0.00153
14,DRO,4,2,0.001446
14,DRO,4,3,0.00144
15,DR,4,1,0.001536
15,DR,4,2,0.001493
15,DR,4,3,0.001433
16,DR,4,1,0.001462
16,DR,4,2,0.001629
16,DR,4,3,0.001522
17,FO,4,1,0.001831
17,FO,4,2,0.001698
17,FO,4,3,0.001623
18,F,4,1,0.001764
18,F,4,2,0.001617
18,F,4,3,0.001764
19,F,4,1,0.001571
19,F,4,2,0.001832
19,F,4,3,0.001797
20,DRO,4,1,0.00156
20,DRO,4,2,0.001454
20,DRO,4,3,0.001635
21,F,4,1,0.001788
21,F,4,2,0.001417
21,F,4,3,0.001678
22,FO,4,1,0.001589
22,FO,4,2,0.00165
22,FO,4,3,0.001579
23,DRO,4,1,0.001462
23,DRO,4,2,0.001608
23,DRO,4,3,0.001512
24,F,4,1,0.001309
24,F,4,2,0.001509
25,F,4,3,0.00144
25,DR,4,1,0.001504
25,DR,4,2,0.001386
26,DRO,4,1,0.001493
26,DRO,4,2,0.001619
26,DRO,4,3,0.001487
27,F,4,1,0.001766
27,F,4,2,0.001613
28,F,4,1,0.001831
28,F,4,2,0.001938
28,F,4,3,0.001651
29,F,4,1,0.001773
29,F,4,2,0.001767
29,F,4,3,0.001762
30,DRO,4,1,0.00141
30,DRO,4,2,0.001498
30,DRO,4,3,0.001435
31,F,4,1,0.001365
31,F,4,2,0.001449
31,F,4,3,0.00154
32,DRO,4,1,0.001543
32,DRO,4,2,0.001368
32,DRO,4,3,0.001413
33,F,4,1,0.001421
33,F,4,2,0.001441
33,F,4,3,0.001369
34,FO,4,1,0.001571
34,FO,4,2,0.001507
34,FO,4,3,0.001721
35,FO,4,1,0.001651
35,FO,4,2,0.00149
35,FO,4,3,0.001451
36,DRO,4,1,0.001465
36,DRO,4,2,0.00165
36,DRO,4,3,0.001559
37,F,4,1,0.001484
37,F,4,2,0.001621
37,F,4,3,0.001752
38,FO,4,1,0.00162
38,FO,4,2,0.001678
38,FO,4,3,0.001677
39,DR,4,1,0.001507
39,DR,4,2,0.001487
39,DR,4,3,0.001507
40,DR,4,1,0.001521
40,DR,4,2,0.001504
40,DR,4,3,0.001407
41,F,4,1,0.001861
41,F,4,2,0.001597
41,F,4,3,0.001591
42,DRO,4,1,0.001494
42,DRO,4,2,0.001635
42,DRO,4,3,0.001523
43,DR,4,1,0.001575
43,DR,4,2,0.001622
43,DR,4,3,0.001839
44,FO,4,1,0.001562
44,FO,4,2,0.001675
44,FO,4,3,0.001471
45,FO,4,1,0.001808
45,FO,4,2,0.001462
46,F,4,1,0.001531
46,F,4,2,0.001463
46,F,4,3,0.001802
47,DR,4,1,0.001668
47,DR,4,2,0.001788
47,DR,4,3,0.001651
48,F,4,1,0.001418
48,F,4,2,0.001665
