Block,Treatment,ID,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,Lost
1,F,1,50,166,61,3,15,3,3,1,2,0,N
1,DR,2,5,32,77,104,118,108,88,53,44,14,N
1,FO,3,30,116,149,105,63,44,40,34,28,19,N
1,DRO,4,19,106,137,120,82,70,50,40,18,16,N
1,FO,5,28,143,138,115,79,55,47,22,7,NA,N
1,F,6,47,144,139,64,49,37,33,13,3,0,N
1,FO,7,38,133,122,33,24,22,21,18,10,8,N
1,DR,8,0,35,88,109,18,1,0,0,0,0,N
1,FO,9,45,131,148,102,58,45,48,23,5,0,N
1,DR,10,30,98,114,123,95,63,55,22,15,NA,N
1,DR,11,9,29,72,43,39,43,12,1,0,1,INF
1,DR,12,2,32,69,86,63,54,22,18,NA,NA,INF
1,DRO,13,9,28,95,36,3,NA,NA,NA,NA,NA,INF
1,F,14,57,144,159,91,10,0,0,0,NA,NA,INF
1,F,15,46,109,132,93,51,23,15,5,NA,NA,INF
1,F,16,57,135,90,35,81,0,0,0,0,0,MAT
1,FO,17,43,139,80,93,44,10,13,NA,NA,NA,INF
1,FO,18,45,121,141,109,73,39,30,18,NA,NA,INF
1,DRO,19,20,108,66,38,8,2,3,NA,NA,NA,INF
1,DRO,20,19,60,123,91,9,1,4,NA,NA,NA,INF
1,DR,21,0,36,74,113,109,72,43,14,0,0,MAT
1,FO,22,51,134,141,91,105,40,45,27,22,15,N
1,FO,23,52,153,146,108,45,20,8,2,0,0,N
1,FO,24,40,150,159,153,79,48,41,17,14,4,N
1,DRO,25,27,99,129,130,79,47,27,24,18,6,N
1,FO,26,39,139,159,112,66,51,0,0,0,0,MAT
1,DRO,27,26,100,119,120,39,27,52,6,15,0,MAT
1,DR,28,0,39,72,115,103,88,61,27,10,6,N
1,F,29,36,154,98,84,49,20,39,30,26,27,N
1,FO,30,34,138,163,97,106,78,60,32,23,0,MAT
1,FO,31,32,125,99,76,40,22,20,16,6,13,N
1,F,32,36,153,133,102,81,46,41,33,17,16,N
1,DR,33,1,32,63,68,59,53,57,39,31,22,MAT
1,F,34,43,101,46,18,10,3,0,0,0,0,MAT
1,F,35,49,143,162,111,50,49,30,35,22,14,N
1,DR,36,0,16,7,23,NA,NA,NA,NA,NA,NA,L
1,F,37,46,142,103,73,38,29,36,19,12,8,L
1,FO,38,48,161,189,151,92,34,19,5,0,0,N
1,DRO,39,24,121,148,25,1,0,0,0,0,0,N
1,DRO,40,24,124,122,83,56,42,33,26,20,12,MAT
1,FO,41,49,157,171,115,64,58,44,19,10,10,N
1,DRO,42,23,116,126,125,108,82,65,46,33,12,MAT
1,DR,43,3,31,67,94,71,73,57,42,34,18,N
1,F,44,50,167,146,123,89,57,53,45,29,0,MAT
1,F,45,33,160,164,107,74,35,52,24,17,7,N
1,DR,46,0,30,50,86,73,67,67,51,28,24,N
1,DRO,47,23,92,117,108,76,65,68,21,15,0,N
1,FO,48,47,151,147,109,59,61,30,28,18,22,N
1,FO,49,50,152,157,111,68,50,33,25,11,15,N
1,DR,50,5,32,75,97,76,51,48,41,39,20,N
1,DRO,51,17,93,126,140,110,67,63,33,13,0,MAT
1,FO,52,41,135,149,126,89,52,30,34,30,9,N
1,DR,53,0,23,57,78,29,24,0,0,0,0,MAT
1,F,54,31,140,160,106,58,35,27,25,8,0,N
1,DRO,55,30,67,110,129,98,93,36,25,15,10,N
1,DRO,56,29,87,124,146,111,62,69,51,41,14,N
1,DRO,57,35,95,106,58,10,14,2,1,1,0,N
